client_id,age,job,marital,education,credit_default,mortgage
0,56,housemaid,married,basic_4y,0,no
1,57,services,married,high_school,0,no
2,37,services,married,high_school,0,yes
3,40,admin,married,basic_6y,0,no
4,56,services,married,high_school,0,no
5,45,services,married,basic_9y,0,no
6,59,admin,married,professional_course,0,no
7,41,blue-collar,married,unknown,0,no
8,24,technician,single,professional_course,0,yes
9,25,services,single,high_school,0,yes
10,41,blue-collar,married,unknown,0,no
11,25,services,single,high_school,0,yes
12,29,blue-collar,single,high_school,0,no
13,57,housemaid,divorced,basic_4y,0,yes
14,35,blue-collar,married,basic_6y,0,yes
15,54,retired,married,basic_9y,0,yes
16,35,blue-collar,married,basic_6y,0,yes
17,46,blue-collar,married,basic_6y,0,yes
18,50,blue-collar,married,basic_9y,0,yes
19,39,management,single,basic_9y,0,no
20,30,unemployed,married,high_school,0,no
21,55,blue-collar,married,basic_4y,0,yes
22,55,retired,single,high_school,0,yes
23,41,technician,single,high_school,0,yes
24,37,admin,married,high_school,0,yes
25,35,technician,married,university_degree,0,no
26,59,technician,married,unknown,0,yes
27,39,self-employed,married,basic_9y,0,no
28,54,technician,single,university_degree,0,no
29,55,unknown,married,university_degree,0,unknown
30,46,admin,married,unknown,0,no
31,59,technician,married,unknown,0,yes
32,49,blue-collar,married,unknown,0,no
33,54,management,married,basic_4y,0,yes
34,54,blue-collar,divorced,basic_4y,0,no
35,55,unknown,married,basic_4y,0,yes
36,34,services,married,high_school,0,no
37,52,technician,married,basic_9y,0,yes
38,41,admin,married,university_degree,0,yes
39,56,technician,married,basic_4y,0,yes
40,58,management,unknown,university_degree,0,yes
41,32,entrepreneur,married,high_school,0,yes
42,38,admin,single,professional_course,0,no
43,57,admin,married,university_degree,0,no
44,44,admin,married,university_degree,0,yes
45,42,technician,single,professional_course,0,no
46,57,admin,married,university_degree,0,yes
47,40,blue-collar,married,basic_9y,0,no
48,35,admin,married,university_degree,0,yes
49,45,blue-collar,married,basic_9y,0,yes
50,54,admin,married,high_school,0,no
51,39,housemaid,married,basic_4y,0,no
52,60,admin,married,high_school,0,no
53,53,admin,single,professional_course,0,no
