continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital,name,description,main.temp_max,main.temp_min
Asia,Afghanistan,2024-08-04,235214.0,0.0,0.0,7998.0,0.0,0.0,5796.468,AFG,kabul,kabul,clear sky,285.62,285.62
Europe,Albania,2024-08-04,335047.0,0.0,0.0,3605.0,0.0,0.0,118491.02,ALB,tirana,tirana,clear sky,284.64,284.64
Africa,Algeria,2024-08-04,272139.0,18.0,2.571,6881.0,0.0,0.0,5984.05,DZA,algiers,algiers,clear sky,293.05,293.05
Oceania,American Samoa,2024-08-04,8359.0,0.0,0.0,34.0,0.0,0.0,172831.6,ASM,pago pago,pago pago,overcast clouds,301.12,301.12
Europe,Andorra,2024-08-04,48015.0,0.0,0.0,159.0,0.0,0.0,602280.44,AND,andorra la vella,andorra la vella,overcast clouds,277.27,276.76
Africa,Angola,2024-08-04,107481.0,0.0,0.0,1937.0,0.0,0.0,3016.162,AGO,luanda,luanda,broken clouds,300.83,300.83
North America,Anguilla,2024-08-04,3904.0,0.0,0.0,12.0,0.0,0.0,274890.88,AIA,the valley,the valley,broken clouds,299.4,299.4
North America,Antigua and Barbuda,2024-08-04,9106.0,0.0,0.0,146.0,0.0,0.0,98071.1,ATG,st. john's,st. john's,overcast clouds,275.53,272.9
South America,Argentina,2024-08-04,10101218.0,54.0,7.714,130663.0,1.0,0.143,222455.06,ARG,buenos aires,buenos aires,clear sky,303.68,301.55
Asia,Armenia,2024-08-04,452273.0,0.0,0.0,8777.0,0.0,0.0,156991.11,ARM,yerevan,yerevan,broken clouds,281.24,281.24
North America,Aruba,2024-08-04,44224.0,0.0,0.0,292.0,0.0,0.0,410271.62,ABW,oranjestad,oranjestad,broken clouds,299.29,299.29
Oceania,Australia,2024-08-04,11861161.0,0.0,0.0,25236.0,0.0,0.0,452699.0,AUS,canberra,canberra,overcast clouds,292.64,289.76
Europe,Austria,2024-08-04,6082444.0,15.0,2.143,22534.0,0.0,0.0,671004.9,AUT,vienna,vienna,clear sky,284.74,282.52
Asia,Azerbaijan,2024-08-04,835757.0,63.0,9.0,10353.0,0.0,0.0,81178.445,AZE,baku,baku,broken clouds,281.18,281.18
North America,Bahamas,2024-08-04,39127.0,0.0,0.0,849.0,0.0,0.0,98421.81,BHS,nassau,nassau,clear sky,287.43,283.34
Asia,Bahrain,2024-08-04,696614.0,0.0,0.0,1536.0,0.0,0.0,454276.25,BHR,manama,manama,clear sky,297.03,297.03
Asia,Bangladesh,2024-08-04,2051348.0,40.0,5.714,29499.0,0.0,0.0,12110.572,BGD,dhaka,dhaka,haze,302.14,302.14
North America,Barbados,2024-08-04,108582.0,57.0,8.143,593.0,0.0,0.0,384600.7,BRB,bridgetown,bridgetown,few clouds,303.42,303.42
Europe,Belarus,2024-08-04,994037.0,0.0,0.0,7118.0,0.0,0.0,108362.68,BLR,minsk,minsk,few clouds,278.65,278.65
Europe,Belgium,2024-08-04,4872829.0,1277.0,182.429,34339.0,0.0,0.0,418562.72,BEL,brussels,brussels,clear sky,291.37,290.23
North America,Belize,2024-08-04,71414.0,0.0,0.0,688.0,0.0,0.0,177319.92,BLZ,belmopan,belmopan,clear sky,301.53,301.53
Africa,Benin,2024-08-04,28036.0,0.0,0.0,163.0,0.0,0.0,2037.573,BEN,porto-novo,porto-novo,broken clouds,304.35,304.35
North America,Bermuda,2024-08-04,18860.0,0.0,0.0,165.0,0.0,0.0,291175.2,BMU,hamilton,hamilton,clear sky,291.81,290.06
Asia,Bhutan,2024-08-04,62697.0,0.0,0.0,21.0,0.0,0.0,80286.07,BTN,thimphu,thimphu,clear sky,276.13,276.13
South America,Bolivia,2024-08-04,1212147.0,2.0,0.286,22387.0,0.0,0.0,100366.93,BOL,sucre,sucre,broken clouds,289.29,289.29
North America,Bonaire Sint Eustatius and Saba,2024-08-04,11922.0,0.0,0.0,41.0,0.0,0.0,416067.56,BES,kralendijk,kralendijk,broken clouds,305.14,305.14
Europe,Bosnia and Herzegovina,2024-08-04,403666.0,0.0,0.0,16392.0,0.0,0.0,125956.49,BIH,sarajevo,sarajevo,clear sky,284.1,284.1
Africa,Botswana,2024-08-04,330696.0,0.0,0.0,2801.0,0.0,0.0,135536.98,BWA,gaborone,gaborone,broken clouds,298.87,298.87
North America,British Virgin Islands,2024-08-04,7557.0,0.0,0.0,64.0,0.0,0.0,197084.3,VGB,road town,road town,broken clouds,301.17,301.17
Europe,Bulgaria,2024-08-04,1329988.0,257.0,36.714,38700.0,0.0,0.0,194845.4,BGR,sofia,sofia,clear sky,278.98,278.98
Africa,Burkina Faso,2024-08-04,22139.0,0.0,0.0,400.0,0.0,0.0,983.56,BFA,ouagadougou,ouagadougou,scattered clouds,314.03,314.03
Africa,Burundi,2024-08-04,54569.0,0.0,0.0,15.0,0.0,0.0,4096.433,BDI,bujumbura,bujumbura,overcast clouds,294.41,294.41
Asia,Cambodia,2024-08-04,139319.0,6.0,0.857,3056.0,0.0,0.0,8099.134,KHM,phnom penh,phnom penh,few clouds,302.1,302.1
North America,Canada,2024-08-04,4819055.0,38.0,5.429,55282.0,0.0,0.0,124134.43,CAN,ottawa,ottawa,overcast clouds,282.68,279.88
Africa,Cape Verde,2024-08-04,64474.0,0.0,0.0,417.0,0.0,0.0,124048.1,CPV,praia,praia,clear sky,295.43,295.43
North America,Cayman Islands,2024-08-04,31472.0,0.0,0.0,37.0,0.0,0.0,439497.84,CYM,george town,george town,few clouds,303.12,300.87
North America,Cayman Islands,2024-08-04,31472.0,0.0,0.0,37.0,0.0,0.0,439497.84,CYM,george town,george town,few clouds,303.12,300.87
Africa,Central African Republic,2024-08-04,15441.0,0.0,0.0,113.0,0.0,0.0,3028.812,CAF,bangui,bangui,overcast clouds,299.91,299.91
Africa,Chad,2024-08-04,7702.0,0.0,0.0,194.0,0.0,0.0,417.332,TCD,n'djamena,n'djamena,scattered clouds,312.59,312.59
South America,Chile,2024-08-04,5401126.0,100.0,14.286,62730.0,0.0,0.0,276229.6,CHL,santiago,santiago,clear sky,298.84,298.84
Asia,China,2024-08-04,99373219.0,2087.0,298.143,122304.0,15.0,2.143,69726.805,CHN,beijing,beijing,clear sky,281.09,281.09
Africa,Comoros,2024-08-04,9109.0,0.0,0.0,160.0,0.0,0.0,10919.549,COM,moroni,moroni,moderate rain,300.81,300.81
Africa,Congo,2024-08-04,25227.0,0.0,0.0,389.0,0.0,0.0,4180.042,COG,brazzaville,brazzaville,overcast clouds,304.03,304.03
Oceania,Cook Islands,2024-08-04,7345.0,1.0,0.143,2.0,0.0,0.0,498067.4,COK,avarua,avarua,few clouds,298.18,298.18
North America,Costa Rica,2024-08-04,1234701.0,0.0,0.0,9372.0,0.0,0.0,242966.97,CRI,san jose,san jose,broken clouds,284.17,280.01
