continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital
Asia,Afghanistan,2024-08-04,235214.0,0.0,0.0,7998.0,0.0,0.0,5796.468,AFG,Kabul
Europe,Albania,2024-08-04,335047.0,0.0,0.0,3605.0,0.0,0.0,118491.02,ALB,Tirana
Africa,Algeria,2024-08-04,272139.0,18.0,2.571,6881.0,0.0,0.0,5984.05,DZA,Algiers
Oceania,American Samoa,2024-08-04,8359.0,0.0,0.0,34.0,0.0,0.0,172831.6,ASM,Pago Pago
Europe,Andorra,2024-08-04,48015.0,0.0,0.0,159.0,0.0,0.0,602280.44,AND,Andorra la Vella
Africa,Angola,2024-08-04,107481.0,0.0,0.0,1937.0,0.0,0.0,3016.162,AGO,Luanda
North America,Anguilla,2024-08-04,3904.0,0.0,0.0,12.0,0.0,0.0,274890.88,AIA,The Valley
North America,Antigua and Barbuda,2024-08-04,9106.0,0.0,0.0,146.0,0.0,0.0,98071.1,ATG,St. John's
South America,Argentina,2024-08-04,10101218.0,54.0,7.714,130663.0,1.0,0.143,222455.06,ARG,Buenos Aires
Asia,Armenia,2024-08-04,452273.0,0.0,0.0,8777.0,0.0,0.0,156991.11,ARM,Yerevan
North America,Aruba,2024-08-04,44224.0,0.0,0.0,292.0,0.0,0.0,410271.62,ABW,Oranjestad
Oceania,Australia,2024-08-04,11861161.0,0.0,0.0,25236.0,0.0,0.0,452699.0,AUS,Canberra
Europe,Austria,2024-08-04,6082444.0,15.0,2.143,22534.0,0.0,0.0,671004.9,AUT,Vienna
Asia,Azerbaijan,2024-08-04,835757.0,63.0,9.0,10353.0,0.0,0.0,81178.445,AZE,Baku
North America,Bahamas,2024-08-04,39127.0,0.0,0.0,849.0,0.0,0.0,98421.81,BHS,Nassau
Asia,Bahrain,2024-08-04,696614.0,0.0,0.0,1536.0,0.0,0.0,454276.25,BHR,Manama
Asia,Bangladesh,2024-08-04,2051348.0,40.0,5.714,29499.0,0.0,0.0,12110.572,BGD,Dhaka
North America,Barbados,2024-08-04,108582.0,57.0,8.143,593.0,0.0,0.0,384600.7,BRB,Bridgetown
Europe,Belarus,2024-08-04,994037.0,0.0,0.0,7118.0,0.0,0.0,108362.68,BLR,Minsk
Europe,Belgium,2024-08-04,4872829.0,1277.0,182.429,34339.0,0.0,0.0,418562.72,BEL,Brussels
North America,Belize,2024-08-04,71414.0,0.0,0.0,688.0,0.0,0.0,177319.92,BLZ,Belmopan
Africa,Benin,2024-08-04,28036.0,0.0,0.0,163.0,0.0,0.0,2037.573,BEN,Porto-Novo
North America,Bermuda,2024-08-04,18860.0,0.0,0.0,165.0,0.0,0.0,291175.2,BMU,Hamilton
Asia,Bhutan,2024-08-04,62697.0,0.0,0.0,21.0,0.0,0.0,80286.07,BTN,Thimphu
South America,Bolivia,2024-08-04,1212147.0,2.0,0.286,22387.0,0.0,0.0,100366.93,BOL,Sucre
North America,Bonaire Sint Eustatius and Saba,2024-08-04,11922.0,0.0,0.0,41.0,0.0,0.0,416067.56,BES,Kralendijk
Europe,Bosnia and Herzegovina,2024-08-04,403666.0,0.0,0.0,16392.0,0.0,0.0,125956.49,BIH,Sarajevo
Africa,Botswana,2024-08-04,330696.0,0.0,0.0,2801.0,0.0,0.0,135536.98,BWA,Gaborone
South America,Brazil,2024-08-04,37511921.0,0.0,0.0,702116.0,0.0,0.0,178367.94,BRA,Brasilia
North America,British Virgin Islands,2024-08-04,7557.0,0.0,0.0,64.0,0.0,0.0,197084.3,VGB,Road Town
Asia,Brunei,2024-08-04,347723.0,288.0,41.143,179.0,1.0,0.143,763598.6,BRN,Bandar Seri Begawan
Europe,Bulgaria,2024-08-04,1329988.0,257.0,36.714,38700.0,0.0,0.0,194845.4,BGR,Sofia
Africa,Burkina Faso,2024-08-04,22139.0,0.0,0.0,400.0,0.0,0.0,983.56,BFA,Ouagadougou
Africa,Burundi,2024-08-04,54569.0,0.0,0.0,15.0,0.0,0.0,4096.433,BDI,Bujumbura
Asia,Cambodia,2024-08-04,139319.0,6.0,0.857,3056.0,0.0,0.0,8099.134,KHM,Phnom Penh
Africa,Cameroon,2024-08-04,125246.0,0.0,0.0,1974.0,0.0,0.0,4532.516,CMR,Yaounde
North America,Canada,2024-08-04,4819055.0,38.0,5.429,55282.0,0.0,0.0,124134.43,CAN,Ottawa
Africa,Cape Verde,2024-08-04,64474.0,0.0,0.0,417.0,0.0,0.0,124048.1,CPV,Praia
North America,Cayman Islands,2024-08-04,31472.0,0.0,0.0,37.0,0.0,0.0,439497.84,CYM,George Town
Africa,Central African Republic,2024-08-04,15441.0,0.0,0.0,113.0,0.0,0.0,3028.812,CAF,Bangui
Africa,Chad,2024-08-04,7702.0,0.0,0.0,194.0,0.0,0.0,417.332,TCD,N'Djamena
South America,Chile,2024-08-04,5401126.0,100.0,14.286,62730.0,0.0,0.0,276229.6,CHL,Santiago
Asia,China,2024-08-04,99373219.0,2087.0,298.143,122304.0,15.0,2.143,69726.805,CHN,Beijing
South America,Colombia,2024-08-04,6391876.0,976.0,139.429,142727.0,0.0,0.0,123543.3,COL,Bogotá
Africa,Comoros,2024-08-04,9109.0,0.0,0.0,160.0,0.0,0.0,10919.549,COM,Moroni
Africa,Congo,2024-08-04,25227.0,0.0,0.0,389.0,0.0,0.0,4180.042,COG,Brazzaville
Oceania,Cook Islands,2024-08-04,7345.0,1.0,0.143,2.0,0.0,0.0,498067.4,COK,Avarua
North America,Costa Rica,2024-08-04,1234701.0,0.0,0.0,9372.0,0.0,0.0,242966.97,CRI,San Jose
Africa,Cote d'Ivoire,2024-08-04,88434.0,0.0,0.0,835.0,0.0,0.0,2909.492,CIV,Yamoussoukro
Europe,Croatia,2024-08-04,1317144.0,0.0,0.0,18752.0,0.0,0.0,337121.47,HRV,Zagreb
North America,Cuba,2024-08-04,1113662.0,0.0,0.0,8530.0,0.0,0.0,100694.4,CUB,Havana
North America,Curacao,2024-08-04,45883.0,0.0,0.0,305.0,0.0,0.0,247546.55,CUW,Willemstad
Europe,Cyprus,2024-08-04,696410.0,0.0,0.0,1451.0,0.0,0.0,523075.38,CYP,Nicosia
Europe,Czechia,2024-08-12,4761919.0,571.0,81.571,43509.0,1.0,0.143,446155.97,CZE,Prague
Africa,Democratic Republic of Congo,2024-08-04,101009.0,0.0,0.0,1474.0,0.0,0.0,986.445,COD,Kinshasa
Europe,Denmark,2024-08-04,3435679.0,0.0,0.0,9693.0,0.0,0.0,582032.56,DNK,Copenhagen
Africa,Djibouti,2024-08-04,15690.0,0.0,0.0,189.0,0.0,0.0,13798.259,DJI,Djibouti
North America,Dominica,2024-08-04,16047.0,0.0,0.0,74.0,0.0,0.0,240044.88,DMA,Roseau
North America,Dominican Republic,2024-08-04,661103.0,0.0,0.0,4384.0,0.0,0.0,58865.52,DOM,Santo Domingo
Asia,East Timor,2024-08-04,23460.0,0.0,0.0,138.0,0.0,0.0,17132.854,TLS,Dili
South America,Ecuador,2024-08-04,1077445.0,157.0,22.429,36050.0,0.0,0.0,60449.453,ECU,Quito
