name,description,main.temp_max,main.temp_min
Kabul,clear sky,285.62,285.62
Tirana,clear sky,284.64,284.64
Algiers,clear sky,293.05,293.05
Pago Pago,overcast clouds,301.12,301.12
Andorra la Vella,overcast clouds,277.27,276.76
Luanda,broken clouds,300.83,300.83
The Valley,broken clouds,299.4,299.4
St. John's,overcast clouds,275.53,272.9
Buenos Aires,clear sky,303.68,301.55
Yerevan,broken clouds,281.24,281.24
Oranjestad,broken clouds,299.29,299.29
Canberra,overcast clouds,292.64,289.76
Vienna,clear sky,284.74,282.52
Baku,broken clouds,281.18,281.18
Nassau,clear sky,287.43,283.34
Manama,clear sky,297.03,297.03
Dhaka,haze,302.14,302.14
Bridgetown,few clouds,303.42,303.42
Minsk,few clouds,278.65,278.65
Brussels,clear sky,291.37,290.23
Belmopan,clear sky,301.53,301.53
Porto-Novo,broken clouds,304.35,304.35
Hamilton,clear sky,291.81,290.06
Thimphu,clear sky,276.13,276.13
Sucre,broken clouds,289.29,289.29
Kralendijk,broken clouds,305.14,305.14
Sarajevo,clear sky,284.1,284.1
Gaborone,broken clouds,298.87,298.87
Brasília,scattered clouds,303.5,301.66
Road Town,broken clouds,301.17,301.17
Brunei Town,broken clouds,300.14,299.77
Sofia,clear sky,278.98,278.98
Ouagadougou,scattered clouds,314.03,314.03
Bujumbura,overcast clouds,294.41,294.41
Phnom Penh,few clouds,302.1,302.1
Yaoundé,broken clouds,301.83,301.83
Ottawa,overcast clouds,282.68,279.88
Praia,clear sky,295.43,295.43
George Town,few clouds,303.12,300.87
Bangui,overcast clouds,299.91,299.91
N'Djamena,scattered clouds,312.59,312.59
Santiago,clear sky,298.84,298.84
Beijing,clear sky,281.09,281.09
Bogota,broken clouds,289.88,289.88
Moroni,moderate rain,300.81,300.81
Brazzaville,overcast clouds,304.03,304.03
Avarua,few clouds,298.18,298.18
San Jose,broken clouds,284.17,280.01
Yamoussoukro,moderate rain,300.99,300.99
Donji grad,clear sky,283.97,283.97
Havana,clear sky,298.44,298.39
